序號,PCode,法規名稱,連結
55,A0030173,法院設置民事調解委員辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030173
56,A0030180,公證文書簿冊保存及銷燬規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030180
57,A0030181,民間公證人遴選研習及任免辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030181
58,A0030182,民間公證人懲戒程序規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030182
59,A0030183,民間公證人監督辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030183
60,A0030184,民間公證人交接規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030184
61,A0030187,法院辦理民事事件調解委員日費旅費及報酬支給標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030187
62,A0030210,行政罰法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030210
63,A0030214,司法院及所屬機關提供政府資訊收費標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030214
64,A0030235,法院移付鄉鎮市調解委員會調解辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030235
65,A0030248,司法院法官遴選委員會檢察官代表票選辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030248
66,A0030279,行政院公共工程委員會公務人員交代條例施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030279
67,A0030314,機關辦理涉及國家安全採購之廠商資格限制條件及審查作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030314
68,A0030315,機關採購工作及審查小組設置及作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030315
69,A0030316,機關委託社會福利服務廠商評選及計費辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030316
70,A0030320,國民法官法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030320
71,A0030358,丹娜絲颱風及七二八豪雨災後復原重建特別條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030358
72,A0030359,花蓮馬太鞍溪堰塞湖災後重建特別條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030359
73,B0000001,民法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
74,B0000002,民法總則施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000002
75,B0000003,民法債編施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000003
76,B0000004,民法物權編施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000004
77,B0000005,民法親屬編施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000005
78,B0000006,民法繼承編施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000006
79,B0000007,涉外民事法律適用法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000007
80,B0000008,司法院釋字第七四八號解釋施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000008
81,B0010001,民事訴訟法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010001
82,B0010002,民事訴訟法施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010002
83,B0010004,強制執行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010004
84,B0010005,管收條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010005
85,B0010006,破產法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010006
86,B0010007,破產法施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010007
87,B0010008,非訟事件法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010008
88,B0010009,非訟事件法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010009
89,B0010010,公證法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010010
90,B0010011,公證法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010011
91,B0010012,提存法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010012
92,B0010013,提存法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010013
93,B0010014,外國法院委託事件協助法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010014
94,B0010015,民刑事訴訟卷宗滅失案件處理法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010015
95,B0010017,法人及夫妻財產制契約登記規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010017
96,B0010020,法院訴訟當事人在途期間標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010020
97,B0010021,法院辦理民事事件證人鑑定人日費旅費及鑑定費支給標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010021
98,B0010024,未繼承登記不動產辦理強制執行聯繫辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010024
99,B0010025,小額訴訟表格化訴狀及判決格式規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010025
100,B0010026,民事訴訟文書使用電信傳真或其他科技設備作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010026
101,B0010027,民事訴訟書狀規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010027
102,B0010028,管收所規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010028
103,B0010029,民事小額事件彈性期日規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010029
104,B0010032,民事事件委任非律師為訴訟代理人許可準則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010032
105,B0010033,各級法院辦理民事事件遠距審理及文書傳送辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010033
106,B0010034,法院辦理民事事件訴訟文書之影印攝影抄錄及翻譯費徵收標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010034
107,B0010035,民事閱卷規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010035
108,B0010036,第三審法院為無資力人選任律師為訴訟代理人辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010036
109,B0010037,法院選任律師及第三審律師酬金核定支給標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010037
110,B0010038,公益社團法人財團法人提起不作為訴訟許可及監督辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010038
111,B0010039,同一地方法院或分院及其簡易庭受理非訟事件事務分配辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010039
112,B0010040,同一地方法院適用簡易程序審理事件事務分配辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010040
113,B0010041,督促程序使用電腦或其他科技設備作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010041
114,B0010042,消費者債務清理條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010042
115,B0010044,法院辦理強制執行程序必要費用徵收標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010044
116,B0010045,消費者債務清理條例施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010045
117,B0010046,法院辦理消費者債務清理條例事件選任法人為監督人管理人辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010046
118,B0010047,集中保管有價證券之提存及其償還金替代證券孳息代為受取辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010047
119,B0010054,臺灣高等法院民事訴訟與非訟事件及強制執行費用提高徵收額數標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010054
120,B0010059,福建高等法院金門分院民事訴訟與非訟事件及強制執行費用提高徵收額數標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010059
121,B0010060,法院辦理民事事件提解費用徵收標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010060
122,B0010061,法院辦理民事及行政訴訟事件複製電子卷證費用徵收標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010061
123,B0010063,公證人防制洗錢及打擊資恐辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010063
124,B0010064,勞動事件法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010064
125,B0010065,強制執行文書使用電子訴訟文書服務平台傳送作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010065
126,B0010066,地方法院設置勞動調解委員辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010066
127,B0010067,勞動事件法第四十條第二項委任律師酬金支給標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010067
128,B0010068,地方法院受理勞動事件事務分配辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010068
129,B0010069,勞動事件審理細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010069
130,B0010070,勞動事件法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010070
131,B0010071,商業事件審理法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010071
132,B0010072,商業事件審理法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010072
133,B0010073,商業調解委員設置辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010073
134,B0010074,商業事件使用電子書狀傳送辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010074
135,B0010075,商業事件遠距審理及文書傳送辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010075
136,B0010076,商業事件審理細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010076
137,B0010077,商業事件選任律師為程序代理人辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010077
138,B0010078,商業事件律師酬金列為訴訟或程序費用之支給標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010078
139,B0010079,智慧財產及商業法院辦理商業事件期限規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010079
140,C0000001,中華民國刑法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000001
141,C0000002,中華民國刑法施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000002
142,C0000006,懲治走私條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000006
143,C0000007,貪污治罪條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000007
144,C0000008,毒品危害防制條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000008
145,C0000013,組織犯罪防制條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000013
146,C0000014,檢舉組織犯罪獎金給與辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000014
147,C0010001,刑事訴訟法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010001
148,C0010002,刑事訴訟法施行法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010002
149,C0010006,中華民國六十年罪犯減刑條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010006
150,C0010007,中華民國六十四年罪犯減刑條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010007
151,C0010008,提審法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010008
152,C0010009,刑事補償法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010009
153,C0010010,刑事補償事件審理規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010010
154,C0010013,公設辯護人條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010013
155,C0010014,公設辯護人管理規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010014
156,C0010017,中華民國七十七年罪犯減刑條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010017
157,C0010018,中華民國八十年罪犯減刑條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010018
158,C0010024,刑事訴訟遠距訊問作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010024
159,C0010025,法院辦理刑事案件少年事件訴訟文書之影印攝影抄錄及複製電子卷證費用徵收標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010025
160,C0010026,中華民國九十六年罪犯減刑條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010026
161,C0010027,刑事妥速審判法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010027
162,C0010028,偵查不公開作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010028
163,C0010029,法院受理提審聲請之事務分配辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010029
164,C0010030,刑事保證金存管計息及發還作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010030
165,C0010031,刑事案件確定後去氧核醣核酸鑑定條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010031
166,C0010032,法院辦理促進轉型正義條例第六條救濟案件審理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010032
167,C0010033,郵務機構送達刑事傳票實施辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010033
168,C0010035,刑事被告科技設備監控執行辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010035
169,C0010036,備選國民法官審核小組職權行使辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010036
170,C0010037,備選國民法官初選名冊製作及管理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010037
171,C0010038,國民法官及備位國民法官宣誓辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010038
172,C0010039,國民參與審判制度概要說明書及候選國民法官調查表應記載事項準則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010039
173,C0010040,國民法官費用支給辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010040
174,C0010041,國民參與審判案件審理計畫準則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010041
175,C0010042,刑事訴訟閱卷規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010042
176,C0010043,國民法官選任辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010043
177,C0010044,國民法官個人資料保護辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010044
178,C0010045,國民參與審判制度成效評估委員會執行秘書及助理聘用業務管理及考核辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010045
179,C0010046,國民參與審判制度成效評估委員會組織規程,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010046
180,C0010047,國民參與審判制度成效評估委員會研究員聘用業務及考核辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010047
181,C0010048,國民法官法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010048
182,C0010050,刑事訴訟特殊強制處分執行辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010050
183,D0000214,直轄市縣（市）合法建築物結構安全性能評估結果異議鑑定小組設置辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000214
184,D0000236,各級都市更新及爭議處理審議會設置辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000236
185,D0000239,災害事故調查會設置辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000239
186,D0050068,身心障礙者房屋租金及購屋貸款利息補貼辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0050068
187,D0060142,非都市土地海域用地區位許可案件審查費收費標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060142
188,D0070001,都市計畫法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070001
189,D0070002,都市計畫樁測定及管理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070002
190,D0070003,都市計畫公共設施保留地臨時建築使用辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070003
191,D0070004,都市計畫定期通盤檢討實施辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070004
192,D0070005,新訂擴大變更都市計畫禁建期間特許興建或繼續施工辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070005
193,D0070007,市區道路條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070007
194,D0070008,都市更新條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070008
195,D0070009,實施都市計畫以外地區建築物管理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070009
196,D0070010,都市更新條例施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070010
197,D0070012,都市計畫法臺灣省施行細則（89.12.29 訂定）,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070012
198,D0070013,都市計畫公共設施用地多目標使用辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070013
199,D0070014,獎勵投資辦理都市計畫公共設施辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070014
200,D0070015,都市計畫私有公共設施保留地與公有非公用土地交換辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070015
201,D0070016,市區道路使用費收費標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070016
202,D0070019,機械遊樂設施設置及檢查管理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070019
203,D0070022,重大投資開發案件都市計畫聯席審議作業辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070022
204,D0070023,營建建設基金收支保管及運用辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070023
205,D0070024,都市更新會設立管理及解散辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070024
206,D0070025,都市更新權利變換實施辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070025
207,D0070026,都市更新事業接管辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070026
208,D0070027,都市更新建築容積獎勵辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070027
209,D0070028,都市計畫容積移轉實施辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070028
210,D0070029,古蹟歷史建築紀念建築土地容積移轉辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070029
211,D0070030,區域計畫法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070030
212,D0070031,區域計畫法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070031
213,D0070032,新市鎮開發條例,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070032
214,D0070034,新市鎮開發條例施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070034
215,D0070035,新市鎮產業引進稅捐減免獎勵辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070035
216,D0070036,建築物結構與設備專業工程技師簽證規則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070036
217,D0070038,海埔地開發管理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070038
218,D0070039,新市鎮特定區實施整體開發前區內土地及建築物使用管制辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070039
219,D0070040,新市鎮開發基金收支保管及運用辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070040
220,D0070041,新市鎮住宅商業工業及其他都市服務設施標售標租及管理辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070041
221,D0070042,新市鎮住宅優先出售出租辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070042
222,D0070043,新市鎮土地標售標租辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070043
223,D0070044,新市鎮土地標售標租投資計畫審查準則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070044
224,D0070045,股份有限公司投資新市鎮建設獎勵辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070045
225,D0070046,共同管道法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070046
226,D0070047,共同管道建設及管理經費分攤辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070047
227,D0070048,共同管道法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070048
228,D0070050,共同管道系統使用土地上空或地下之使用程序使用範圍界線劃分登記徵收及補償審核辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070050
229,D0070051,共同管道工程設計標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070051
230,D0070052,非都市土地開發許可審查收費標準,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070052
231,D0070053,非都市土地開發影響費徵收辦法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070053
232,D0070058,下水道法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070058
233,D0070059,下水道法施行細則,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070059
